id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
94dbc5c3-ef37-445e-9154-3d9f9ea9245d,5,1,00:00:00.490,0,Kick Off,2,From Kick Off,Russia,Aleksey Miranchuk,Right Attacking Midfield,1.373215,3788753,6299,,,,,0.9968953476433242,Complete,31917,Igor Diveev,Ground Pass,Left Foot,60.0,40.0,37.7,41.6
c943a37b-f9ae-4784-beb7-f9efce2ca855,8,1,00:00:03.374,0,,2,From Kick Off,Russia,Igor Diveev,Center Back,3.332542,3788753,31917,,,,,0.43887181160667055,Complete,5177,Aleksandr Golovin,High Pass,Right Foot,39.853817,40.45431,85.1,23.9
2bf9d325-fba4-4dfa-9f9f-08a25e70b073,11,1,00:00:06.707,0,,2,From Kick Off,Russia,Aleksandr Golovin,Left Attacking Midfield,1.734028,3788753,5177,True,,,,0.8259047030391793,Complete,5179,Daler Kuzyaev,Low Pass,,85.53447,22.309643,90.8,9.5
842fd78c-c050-4a88-b48d-758414697864,13,1,00:00:08.441,0,,2,From Kick Off,Russia,Daler Kuzyaev,Left Wing Back,0.863683,3788753,5179,,,,,0.9533058096485668,Complete,5195,Artem Dzyuba,Ground Pass,Right Foot,89.810135,10.714713,93.7,22.6
60034587-15ac-4edd-bf3d-19a059043557,17,1,00:00:10.361,0,,2,From Kick Off,Russia,Artem Dzyuba,Center Forward,1.99964,3788753,5195,,,,,0.6612214587052846,Complete,5179,Daler Kuzyaev,Ground Pass,Left Foot,95.132866,19.369898,115.3,14.1
0457a0fa-f3f2-423f-a5ab-54d663fabb42,23,1,00:00:14.780,0,Recovery,3,Regular Play,Finland,Paulus Arajuuri,Center Back,0.848868,3788753,24455,,,,,0.9961075428466836,Complete,15416,Jukka Raitala,Ground Pass,Right Foot,6.90599,59.82417,3.5,66.6
cafb12ec-ba77-47ef-8064-7101149e85d6,31,1,00:00:17.362,0,,3,Regular Play,Finland,Jukka Raitala,Right Wing Back,1.153924,3788753,15416,,,,,0.9158792800362808,Complete,12807,Rasmus Schüller,Ground Pass,Right Foot,8.9,73.5,22.5,61.2
33415486-be97-4d12-b75d-86f8bcf70eb8,34,1,00:00:19.173,0,,3,Regular Play,Finland,Rasmus Schüller,Center Defensive Midfield,0.785956,3788753,12807,,,,,0.5636671365182588,Incomplete,,,High Pass,Right Foot,23.328255,61.890682,40.2,70.6
b0c71eea-5bc9-433a-b763-4e60ea57a75f,35,1,00:00:19.959,0,Interception,3,Regular Play,Russia,Roman Zobnin,Left Defensive Midfield,1.032123,3788753,5171,,,,,0.531222969788195,Incomplete,20845,Magomed Ozdoev,High Pass,Head,80.4437,9.190527,92.6,20.5
6237f8bb-69ea-48ca-aeed-ee4bda568392,37,1,00:00:20.992,0,Recovery,3,Regular Play,Finland,Rasmus Schüller,Center Defensive Midfield,1.74035,3788753,12807,,,,,0.7293829453325206,Incomplete,,,Low Pass,Left Foot,27.52209,60.22632,42.7,61.9
d0578bfa-dad2-4d1b-9ebb-b11938f7cc43,40,1,00:00:23.454,0,,4,Regular Play,Russia,Roman Zobnin,Left Defensive Midfield,1.85978,3788753,5171,,,,,0.9959153373882332,Complete,18735,Dmitriy Barinov,Ground Pass,Left Foot,74.0261,23.25046,67.0,49.3
1f1b74e8-fe0c-49ab-8beb-765766ed484b,43,1,00:00:26.714,0,,4,Regular Play,Russia,Dmitriy Barinov,Right Center Back,0.999181,3788753,18735,,,,,0.9491049585552584,Incomplete,5195,Artem Dzyuba,Ground Pass,Right Foot,73.6977,54.479916,95.6,50.3
884d26d0-16e5-4913-adce-b1a6dfa65174,55,1,00:00:33.482,0,,4,Regular Play,Russia,Mário Figueira Fernandes,Right Wing Back,1.961564,3788753,5170,,,,,0.7553944382232793,Complete,20845,Magomed Ozdoev,Ground Pass,Right Foot,102.00639,71.32478,117.2,58.0
cf08946c-8dad-4834-b153-e4f9395d6749,58,1,00:00:35.444,0,,4,Regular Play,Russia,Magomed Ozdoev,Right Defensive Midfield,0.206874,3788753,20845,,,,,0.014391339122800556,Incomplete,,,Ground Pass,Right Foot,118.1638,59.614094,116.8,56.4
97582d97-dedc-48ed-9962-fbcb80a53ad8,60,1,00:01:03.016,1,Corner,5,From Corner,Russia,Aleksandr Golovin,Left Attacking Midfield,1.260858,3788753,5177,,,,,0.4552068993950605,Incomplete,,,High Pass,Right Foot,118.90167,79.13818,114.3,44.1
b75245e2-0b4c-412c-8764-f69ed028f11d,65,1,00:01:09.736,1,,5,From Corner,Russia,Aleksey Miranchuk,Right Attacking Midfield,2.322141,3788753,6299,True,,,,0.9878507863289178,Complete,5179,Daler Kuzyaev,Ground Pass,Right Foot,75.60775,51.42612,60.3,45.1
f84368c7-747b-4373-96e6-6275511fb653,68,1,00:01:12.168,1,,5,From Corner,Russia,Daler Kuzyaev,Left Wing Back,1.250277,3788753,5179,,,,,0.9770125065767212,Complete,18735,Dmitriy Barinov,Ground Pass,Right Foot,60.165413,49.823307,58.3,67.2
e1b3502a-b526-4b17-b4b9-c437e341a7a8,71,1,00:01:14.914,1,,5,From Corner,Russia,Dmitriy Barinov,Right Center Back,2.657079,3788753,18735,,,,,0.9665058622951488,Complete,5179,Daler Kuzyaev,Ground Pass,Left Foot,52.489643,63.437687,49.1,33.0
e6f4976f-d3c4-45f3-a507-caed95ce7987,74,1,00:01:19.807,1,,5,From Corner,Russia,Daler Kuzyaev,Left Wing Back,0.880938,3788753,5179,,,,,0.9803308825677264,Complete,16583,Georgiy Dzhikiya,Ground Pass,Right Foot,53.33349,31.62825,56.4,8.7
8bd00598-d43d-449d-bc30-2d5cdb0f0b7a,77,1,00:01:21.956,1,,5,From Corner,Russia,Georgiy Dzhikiya,Left Center Back,1.913657,3788753,16583,,,,,0.9918224805646813,Complete,31917,Igor Diveev,Ground Pass,Left Foot,54.60756,19.690142,43.3,28.4
f1fe68f0-a301-45bc-b625-07f7b00b29d8,80,1,00:01:24.683,1,,5,From Corner,Russia,Igor Diveev,Center Back,1.625523,3788753,31917,,,,,0.9939356073981792,Complete,18735,Dmitriy Barinov,Ground Pass,Right Foot,44.791443,38.120308,51.8,70.5
f2c9224e-c30e-41f4-91c4-9192f39c3a4d,83,1,00:01:29.379,1,,5,From Corner,Russia,Dmitriy Barinov,Right Center Back,1.769386,3788753,18735,,,,,0.9879051794461584,Complete,31917,Igor Diveev,Ground Pass,Right Foot,62.6,72.2,42.6,53.6
0fdde9f8-0a70-4912-bd97-3a4fca7a10e5,86,1,00:01:32.481,1,,5,From Corner,Russia,Igor Diveev,Center Back,2.063471,3788753,31917,,,,,0.9733671630412004,Complete,16583,Georgiy Dzhikiya,Ground Pass,Right Foot,44.848198,49.003788,56.4,12.2
a0c5224f-a6cf-4e84-9eae-7bfc80b03d8e,89,1,00:01:35.349,1,,5,From Corner,Russia,Georgiy Dzhikiya,Left Center Back,1.230575,3788753,16583,,,,,0.9532796052092041,Complete,5177,Aleksandr Golovin,Ground Pass,Right Foot,57.62453,21.759106,70.1,3.0
331de241-7a7a-4d9f-82c8-6776600b3cf8,92,1,00:01:39.748,1,,5,From Corner,Russia,Aleksandr Golovin,Left Attacking Midfield,1.397841,3788753,5177,,,,,0.9844801976136496,Complete,31917,Igor Diveev,Ground Pass,Left Foot,68.27855,12.029923,51.8,26.2
3aba1c74-b246-46e5-9803-609e45e3e56d,95,1,00:01:44.044,1,,5,From Corner,Russia,Igor Diveev,Center Back,3.563363,3788753,31917,,,,,0.8128299664921265,Incomplete,5195,Artem Dzyuba,Ground Pass,Right Foot,59.895153,37.047485,107.8,41.6
0761d72e-1377-4280-9967-61588559c148,98,1,00:01:50.518,1,,5,From Corner,Finland,Lukáš Hrádecký,Goalkeeper,1.69556,3788753,8667,,True,,,0.9469361196352208,Complete,38196,"Daniel O""Shaughnessy",Ground Pass,Right Foot,10.8,37.1,23.9,18.9
ba3e6d88-9bc8-4014-a286-21dfe610e663,100,1,00:01:53.204,1,,5,From Corner,Finland,"Daniel O""Shaughnessy",Left Center Back,6.529718,3788753,38196,,,,,0.047079022246831005,Out,9725,Joel Pohjanpalo,High Pass,Left Foot,28.501945,13.807396,113.3,0.8
731ee2aa-d360-477c-a193-5a6efff52757,102,1,00:02:22.168,2,Throw-in,6,From Throw In,Russia,Mário Figueira Fernandes,Right Wing Back,1.506288,3788753,5170,,,,,0.46577259260931897,Incomplete,5195,Artem Dzyuba,High Pass,,8.9,80.0,30.8,73.0
